통합 ID,원본 조,요구사항,역할,분류,비고,우선순위,진행상태,확인 필요
FR-P3-036,3조,동일 Drawing의 Retry에서는 Seed를 변경해서는 안 된다.,성원,이벤트 마감,재현성 보장,1차 확정,시작 전,No
FR-P3-037,3조,추첨 엔진은 DrawInput을 입력받아 DrawOutput을 반환해야 한다.,성원,이벤트 마감,윤희↔성원 계약,1차 확정,시작 전,No
FR-P3-038,3조,"DrawInput에는 Snapshot, Seed, Algorithm Version, winnerCount 및 후보자 정보를 포함해야 한다.",성원,이벤트 마감,후보 userId/ticketCount,1차 확정,시작 전,No
FR-P3-039,3조,동일 DrawInput은 실행 시점이나 서버와 관계없이 동일 DrawOutput을 반환해야 한다.,성원,이벤트 마감,결정적 추첨,1차 확정,시작 전,No
FR-P3-040,3조,추첨 엔진은 DB·Redis 등 외부 저장소에 직접 의존하지 않는 순수 로직으로 구현해야 한다.,성원,이벤트 마감,DrawingEngine,1차 확정,시작 전,No
FR-P3-041,3조,응모권 수에 비례한 가중 추첨 WEIGHTED_V1을 지원해야 한다.,성원,이벤트 마감,현재 MVP 핵심 방식,1차 확정,시작 전,No
FR-P3-042,3조,동일 Drawing에서 동일 사용자가 중복 당첨되어서는 안 된다.,성원,이벤트 마감,당첨 후 후보군 제거,1차 확정,시작 전,No
FR-P3-043,3조,정확히 winnerCount명만 선정해야 한다.,성원,이벤트 마감,후보 충분 시,1차 확정,시작 전,No
FR-P3-044,3조,winnerCount > candidateCount이면 추첨을 실행하지 않아야 한다.,성원,이벤트 마감,유효성 검증,1차 확정,시작 전,No
FR-P3-045,3조,사용자의 응모권 수와 관계없이 동일 확률을 적용하는 UNIFORM_V1 추첨을 지원해야 한다.,성원,이벤트 마감,기존 통합 v1.5.4 MVP는 WEIGHTED 중심,신설,시작 전,No
FR-P3-046,3조,Seed Commitment를 생성하여 마감 전 Seed 조작 여부를 사후 검증할 수 있어야 한다.,성원,이벤트 마감,"별도 추첨 요구사항 v2에는 존재, 통합 v1.5.4 반영 여부 확인",확인 필요,시작 전,No
FR-P3-047,3조,최초 공식 추첨은 CLOSED + Snapshot 존재 + Hash 검증 성공 + Seed/Algorithm Version 확정 후에만 실행해야 한다.,윤희,이벤트 마감,INITIAL 실행 조건,1차 확정,시작 전,No
FR-P3-048,3조,동일 Event에는 INITIAL Drawing이 하나만 존재해야 한다.,윤희,이벤트 마감,공식 추첨 단일성,1차 확정,시작 전,No
FR-P3-049,3조,버튼 연타·동시 요청·다중 인스턴스에서도 INITIAL Drawing은 하나만 생성되어야 한다.,윤희,이벤트 마감,DB UNIQUE/동시성 제어,1차 확정,시작 전,No
FR-P3-050,3조,Drawing은 READY → RUNNING → COMPLETED/FAILED 상태를 관리해야 한다.,윤희,이벤트 마감,Drawing lifecycle,1차 확정,시작 전,No
FR-P3-051,3조,공식 추첨 실행 시 확정된 DrawInput으로 DrawingEngine을 호출해야 한다.,윤희,이벤트 마감,성원 엔진 호출,1차 확정,시작 전,No
FR-P3-052,3조,"추첨 결과 Winner에는 drawingId, eventId, userId, rank, appliedTicketCount를 저장해야 한다.",윤희,이벤트 마감,Winner 불변 결과,1차 확정,시작 전,No
FR-P3-053,3조,동일 Drawing 내 Winner의 rank와 userId가 중복되어서는 안 된다.,윤희/성원,이벤트 마감,엔진 + DB 양쪽 방어,1차 확정,시작 전,No
FR-P3-054,3조,추첨 결과를 정규화하여 Result Hash를 생성·저장해야 한다.,성원,이벤트 마감,결과 무결성,1차 확정,시작 전,No
FR-P3-055,3조,"INITIAL 추첨 완료 시 Winner 전체 저장, Drawing COMPLETED, resultHash 저장, Event CLOSED → DRAW_COMPLETED를 하나의 Transaction으로 처리해야 한다.",윤희,이벤트 마감,핵심 원자성,1차 확정,시작 전,No
FR-P3-056,3조,INITIAL 결과 저장 중 하나라도 실패하면 전체 결과를 Rollback해야 한다.,윤희,이벤트 마감,부분 Winner 저장 금지,1차 확정,시작 전,No
FR-P3-057,3조,추첨 실패 시 실패 단계·원인·시각·Retry 횟수를 기록해야 한다.,윤희,이벤트 마감,Attempt History,1차 확정,시작 전,No
FR-P3-058,3조,일시적인 시스템 장애로 실패한 Drawing은 기존 Drawing으로 Retry할 수 있어야 한다.,윤희,이벤트 마감,새 Drawing 생성 X,1차 확정,시작 전,No
FR-P3-059,3조,"Drawing Retry 시 Snapshot, Seed, Algorithm Version, winnerCount, Drawing ID를 변경해서는 안 된다.",윤희,이벤트 마감,동일 조건 재실행,1차 확정,시작 전,No
FR-P3-060,3조,Snapshot Hash 불일치나 후보 부족 등 입력 자체가 유효하지 않은 경우 동일 조건 Retry를 수행하지 않아야 한다.,윤희,이벤트 마감,기술 실패와 비즈니스 실패 구분,1차 확정,시작 전,No
FR-P3-061,3조,이미 정상 추첨 결과가 존재하는 Drawing에 재실행 요청이 오면 다시 추첨하지 않아야 한다.,윤희,이벤트 마감,중복 실행 방지,1차 확정,시작 전,No
FR-P3-062,3조,RUNNING 중 서버가 종료된 경우 기존 Drawing을 기준으로 복구할 수 있어야 한다.,윤희,이벤트 마감,장애 복구,1차 확정,시작 전,No
FR-P3-063,3조,완료된 Drawing을 당시 확정된 입력으로 재현 검증할 수 있어야 한다.,성원,이벤트 마감,INITIAL/REDRAW 모두,1차 확정,시작 전,No
FR-P3-064,3조,"재현 검증에는 Snapshot, Snapshot Hash, Seed, Algorithm Version, Exclusion List, winnerCount를 사용해야 한다.",성원,이벤트 마감,현재 데이터 사용 금지,1차 확정,시작 전,No
FR-P3-065,3조,"재현 결과의 Snapshot Hash, Input Hash, Winner, Rank, Result Hash를 기존 결과와 비교해야 한다.",성원,이벤트 마감,VERIFIED/FAILED,1차 확정,시작 전,No
FR-P3-066,3조,재현 검증 결과는 VERIFIED 또는 VERIFICATION_FAILED로 기록해야 한다.,성원,이벤트 마감,Verification History,1차 확정,시작 전,No
FR-P3-067,3조,재현 검증 이력은 append-only로 저장해야 한다.,성원,이벤트 마감,감사 가능성,1차 확정,시작 전,No
FR-P3-068,3조,"재현 검증 과정에서 Event, Snapshot, Drawing, Winner를 변경해서는 안 된다.",성원,이벤트 마감,검증은 read-only,1차 확정,시작 전,No
FR-P3-069,3조,승인된 RedrawRequest에 대해 실제 REDRAW Drawing을 실행할 수 있어야 한다.,윤희,이벤트 마감,운영 Workflow 승인 이후 호출,1차 확정,시작 전,No
FR-P3-070,3조,재추첨은 최초 공식 Snapshot을 재사용해야 한다.,윤희,이벤트 마감,Snapshot 재생성 X,1차 확정,시작 전,No
FR-P3-071,3조,재추첨 후보에서 해당 Event의 기존 모든 Winner를 제외해야 한다.,윤희,이벤트 마감,DECLINED/DISQUALIFIED도 재진입 금지,1차 확정,시작 전,No
FR-P3-072,3조,재추첨은 최초 추첨과 동일한 drawMethod와 algorithmVersion을 사용해야 한다.,윤희/성원,이벤트 마감,새 Seed만 생성,1차 확정,시작 전,No
FR-P3-073,3조,새로운 재추첨 Drawing에는 새로운 Seed를 생성해야 한다.,성원,이벤트 마감,Retry 시에는 동일 Seed,1차 확정,시작 전,No
FR-P3-074,3조,후보 수가 vacancyCount보다 부족하면 REDRAW Drawing을 생성하지 않아야 한다.,윤희,이벤트 마감,부분 재추첨 X,1차 확정,시작 전,No
FR-P3-075,3조,후보 부족 시 executionStatus=INSUFFICIENT_CANDIDATES로 처리해야 한다.,윤희,이벤트 마감,vacancyCount 임의 감소 X,1차 확정,시작 전,No
FR-P3-076,3조,동일 RedrawRequest가 동시에 처리되어도 REDRAW Drawing은 하나만 생성되어야 한다.,윤희,이벤트 마감,재추첨 실행 멱등성,1차 확정,시작 전,No
FR-P3-077,3조,REDRAW Drawing 실패 후 Retry 시 새로운 Drawing이나 Seed를 생성해서는 안 된다.,윤희,이벤트 마감,기존 Drawing 재사용,1차 확정,시작 전,No
FR-P3-078,3조,추첨 완료 결과를 Kafka 이벤트로 발행해야 한다.,성원,이벤트 마감,새 역할분담에 등장,1차 확정,시작 전,No
FR-P3-079,3조,추첨 결과 저장과 Outbox Event 저장을 동일 Transaction으로 처리해야 한다.,윤희,이벤트 마감,Kafka 채택 시 필요,확인 필요,시작 전,No
FR-P3-080,3조,Outbox 이벤트를 Kafka로 전달하여 추첨 결과 후속 처리를 수행해야 한다.,성원,이벤트 마감,Outbox/Kafka 채택 전제,확인 필요,시작 전,No
FR-P3-081,3조,공개된 추첨 결과 조회를 위한 Read Model을 제공해야 한다.,성원,이벤트 마감,CQRS성 구조가 실제 필요한지 확인,확인 필요,시작 전,No
FR-P3-082,3조,동일 Snapshot + Seed + Algorithm Version + Exclusion List + winnerCount 입력은 항상 동일 Winner와 Rank를 생성해야 한다.,성원,이벤트 마감,결정적 재현성,1차 확정,시작 전,No
FR-P3-083,3조,Event당 공식 Snapshot은 정확히 1개만 존재해야 한다.,윤희,이벤트 마감,동시 생성 포함,1차 확정,시작 전,No
FR-P3-084,3조,Event당 INITIAL Drawing은 정확히 1개만 존재해야 한다.,윤희,이벤트 마감,다중 인스턴스 포함,1차 확정,시작 전,No
FR-P3-085,3조,INITIAL 결과 확정은 Winner·Drawing·ResultHash·Event 상태가 원자적으로 저장되어야 한다.,윤희,이벤트 마감,Transaction invariant,1차 확정,시작 전,No
FR-P3-086,3조,Gate 차단 이후 승인되는 신규 응모는 0건이어야 한다.,윤희,이벤트 마감,동시성 테스트,1차 확정,시작 전,No
FR-P3-087,3조,CLOSED 이전 승인 응모의 Snapshot 누락은 0건이어야 한다.,윤희,이벤트 마감,마감/추첨 연결 정합성,1차 확정,시작 전,No
FR-P3-088,3조,동일 Drawing에서 동일 사용자의 중복 당첨은 0건이어야 한다.,성원,이벤트 마감,알고리즘 검증,1차 확정,시작 전,No
FR-P3-089,3조,기존 Winner가 재추첨에서 다시 당첨되는 경우는 0건이어야 한다.,윤희/성원,이벤트 마감,후보 필터 + 엔진 검증,1차 확정,시작 전,No
FR-P3-090,3조,Event의 상품 등급별 식별자·표시명·우선순위·양의 정수 가중치·수량을 DRAFT에서 설정할 수 있어야 한다.,성원,상품 가중치 추첨,event_prize와 생성·수정·조회 API,2차 확정,완료,No
FR-P3-091,3조,상품 가중치는 응모자 선정 확률과 CandidateValue.ticketCount에 반영하지 않아야 한다.,성원,상품 가중치 추첨,DrawingEngine과 PrizeAllocationEngine 책임 분리,2차 확정,완료,No
FR-P3-092,3조,공식 Snapshot은 상품 구성·가중치·수량·상품 알고리즘 버전을 변경 불가능한 입력으로 보존해야 한다.,성원,상품 가중치 추첨,draw_snapshot_prize와 CKING_SNAPSHOT_V2,2차 확정,완료,No
FR-P3-093,3조,상품 배정은 남은 재고가 있는 상품만 정수 누적 가중치 구간에 포함하고 배정 후 수량을 차감해야 한다.,성원,상품 가중치 추첨,PRIZE_WEIGHTED_V1,2차 확정,완료,No
FR-P3-094,3조,상품 수량 부족·0 이하 가중치·중복 상품 식별자·가중치 합 overflow를 배정 전에 거부해야 한다.,성원,상품 가중치 추첨,Event·Snapshot·PrizeAllocationInput 검증,2차 확정,완료,No
FR-P3-095,3조,동일 Drawing Retry는 보존된 상품 설정·Seed·상품 알고리즘 버전으로 동일한 상품 배정을 재현해야 한다.,성원,상품 가중치 추첨,Seed 도메인 분리와 고정 Seed fixture,2차 확정,완료,No
FR-P3-096,3조,상품 설정은 Input Hash에 당첨자별 상품 배정은 Result Hash에 포함하되 기존 V1 계약은 변경하지 않아야 한다.,성원,상품 가중치 추첨,CKING_DRAW_INPUT_V2·CKING_DRAW_RESULT_V2,2차 확정,완료,No
FR-P3-097,3조,당첨자별 배정 상품과 Winner·WinnerManagement·Drawing·Event 상태는 하나의 Transaction으로 확정해야 한다.,성원,상품 가중치 추첨,부분 상품 저장 금지와 Rollback 통합 테스트,2차 확정,완료,No
FR-P3-098,3조,Event·Snapshot·관리자 결과·PUBLIC 결과 조회에서 상품 정보를 반환해야 한다.,성원,상품 가중치 추첨,상품 조회 응답 확장,2차 확정,완료,No
FR-P4-090,4조,일반 사용자는 크리에이터 권한을 신청할 수 있다,혁준,Creator 승인,"신청 직후 creator_application.status=PENDING으로 생성한다. Creator 여부는 Member.role이 아니라 해당 Member의 Creator 존재 여부로 판단하며, 이미 Creator가 존재하는 Member는 신청할 수 없다.",1차 확정,시작 전,No
FR-P4-091,4조,사용자는 자신의 크리에이터 신청 상태를 조회할 수 있다,혁준,Creator 승인,본인의 Creator 신청 상태 및 심사 결과를 조회한다.,1차 확정,시작 전,No
FR-P4-092,4조,관리자는 크리에이터 신청 목록을 조회할 수 있다,혁준,Creator 승인,"관리자 권한을 검증하고 Creator 신청 목록을 조회한다. page/size 방식 사용. page=0 시작, size 기본 20, 최대 100.",1차 확정,시작 전,No
FR-P4-093,4조,관리자는 PENDING 크리에이터 신청을 승인할 수 있다,혁준,Creator 승인,"PENDING → APPROVED 상태 변경, Creator 중복 존재 여부 확인, Creator 생성을 하나의 DB Transaction으로 처리한다. Creator는 해당 Member를 참조하며 Member당 최대 1개만 존재할 수 있다.",1차 확정,시작 전,No
FR-P4-094,4조,관리자는 PENDING 크리에이터 신청을 거절할 수 있다,혁준,Creator 승인,PENDING → REJECTED로 변경하고 거절 사유와 심사 정보를 기록한다.,1차 확정,시작 전,No
FR-P4-095,4조,APPROVED Creator만 이벤트 생성·관리 기능을 사용할 수 있다,혁준,Creator 승인,Event 생성·수정·삭제·승인 요청 전에 해당 Member에 대응하는 Creator가 존재하는지 확인한다. Creator 여부는 Member.role로 판단하지 않는다.,1차 확정,시작 전,No
FR-P4-096,4조,크리에이터는 자신이 소유한 이벤트 목록을 조회할 수 있다,혁준,Event 운영,"요청 Member의 Creator를 확인하고 해당 Creator 소유 Event만 조회한다. 논리 삭제된 Event는 제외한다. page/size 방식 사용. page=0 시작, size 기본 20, 최대 100. 추가",1차 확정,시작 전,No
FR-P4-097,4조,승인된 크리에이터는 DRAFT 이벤트를 생성할 수 있다,혁준,Event 운영,"승인된 Creator는 Event를 생성할 수 있으며, 생성 직후 Event 상태는 DRAFT로 저장한다.",1차 확정,시작 전,Yes
FR-P4-098,4조,크리에이터는 DRAFT 또는 REJECTED 이벤트를 수정할 수 있다,혁준,Event 운영,"소유권을 검증하고 DRAFT, REJECTED 상태에서만 수정한다. REJECTED Event 수정 시 EventCommandService.changeToDraft(eventId)를 통해 REJECTED → DRAFT로 전환한다.",1차 확정,시작 전,No
FR-P4-099,4조,크리에이터는 DRAFT 또는 REJECTED 이벤트를 논리 삭제할 수 있다,혁준,Event 운영,물리 삭제하지 않고 deletedAt을 기록한다. 그 외 상태에서는 삭제를 거부한다.,1차 확정,시작 전,No
FR-P4-100,4조,크리에이터는 DRAFT 이벤트의 승인 요청을 할 수 있다,혁준,Event 승인,EventApprovalRequest를 생성한 뒤 EventCommandService.requestApproval(eventId)를 호출하여 DRAFT → PENDING_APPROVAL로 전환한다. 현재 상태가 허용되지 않으면 INVALID_STATE로 처리한다.,1차 확정,시작 전,No
FR-P4-101,4조,PENDING_APPROVAL 이벤트는 수정할 수 없다,혁준,Event 승인,승인 심사 중인 Event에 대한 수정 요청을 거부한다.,1차 확정,시작 전,No
FR-P4-102,4조,관리자는 승인 대기 이벤트를 조회할 수 있다,혁준,Event 승인,"PENDING_APPROVAL 상태의 Event와 승인 요청 정보를 조회한다. page/size 방식 사용. page=0 시작, size 기본 20, 최대 100.",1차 확정,시작 전,No
FR-P4-103,4조,관리자는 승인 대기 이벤트를 승인할 수 있다,혁준,Event 승인,endAt이 이미 지난 Event는 승인하지 않는다. EventApprovalRequest를 APPROVED로 처리하고 EventCommandService.approve(eventId)를 호출하여 PENDING_APPROVAL → SCHEDULED로 전환한다.,1차 확정,시작 전,No
FR-P4-104,4조,관리자는 승인 대기 이벤트를 거절할 수 있다,혁준,Event 승인,"EventApprovalRequest를 REJECTED로 처리하고 거절 사유를 기록한 뒤 EventCommandService.reject(eventId, reason)를 호출하여 PENDING_APPROVAL → REJECTED로 전환한다.",1차 확정,시작 전,No
FR-P4-105,4조,Event 상태 변경은 공통 EventCommandService를 통해서만 수행한다,혁준,Event 상태,"Event 상태를 직접 변경하지 않고 모든 상태 전이는 공통 EventCommandService를 사용한다. 파트4는 requestApproval, approve, reject, changeToDraft, publish를 사용하며, 허용되지 않은 상태 전이는 INVALID_STATE, 존재하지 않는 Event는 RESOURCE_NOT_FOUND로 처리한다.",1차 확정,시작 전,No
FR-P4-106,4조,크리에이터는 자신이 소유한 OPEN 이벤트의 수동 마감을 요청할 수 있다,혁준,수동 마감,"Creator 본인의 Event인지 검증한 뒤 파트2의 EventClosingService.startClosing(eventId)를 호출한다. 실제 Event 상태 확인, Gate 차단, Barrier 발행, cutoff 확정, OPEN → CLOSING, Drain 및 CLOSING → CLOSED 처리는 파트2가 담당한다. 이미 CLOSING 또는 CLOSED인 경우 새로운 마감 작업을 시작하지 않고 기존 상태를 멱등하게 반환한다.",1차 확정,시작 전,No
FR-P4-107,4조,관리자는 OPEN 이벤트의 수동 마감을 요청할 수 있다,혁준,수동 마감,관리자 권한을 검증한 뒤 파트2의 EventClosingService.startClosing(eventId)를 호출한다. Event 상태와 실제 마감 처리 검증은 파트2가 담당하며 CLOSING 또는 CLOSED 재요청은 기존 상태를 멱등하게 반환한다.,1차 확정,시작 전,No
FR-P4-108,4조,수동 마감 요청은 Gate 차단 후 202 Accepted로 응답한다,혁준,수동 마감,"EventClosingService.startClosing(eventId)가 Gate 차단, Barrier 발행, cutoff 확정 및 OPEN → CLOSING 처리를 완료한 뒤 ClosingResult(eventId, status)를 반환한다. 이후 Drain은 백그라운드에서 진행하며 클라이언트에는 202 Accepted와 ClosingResult를 공통 API 응답 봉투의 data로 반환한다.",1차 확정,시작 전,No
FR-P4-109,4조,관리자는 이벤트 마감 완료 여부를 조회할 수 있다,혁준,수동 마감,"관리자 권한을 검증한 뒤 EventClosingService.getClosingStatus(eventId)를 호출하여 CLOSING 또는 CLOSED를 반환한다. cutoffStreamId, pendingCount, Stream lag, 진행률 등의 내부 마감 정보는 클라이언트에 노출하지 않는다.",1차 확정,시작 전,No
FR-P4-110,4조,일반 사용자에게는 PUBLIC Drawing의 당첨 결과만 공개한다,혁준,결과 공개,Drawing.visibility=PUBLIC인 결과만 사용자에게 반환하며 PRIVATE 결과는 노출하지 않는다.,1차 확정,시작 전,No
FR-P4-111,4조,공개 당첨 결과에는 개인정보 마스킹을 적용한다,혁준,개인정보,일반 사용자와 Creator에게 이름과 전화번호를 응답 단계에서 마스킹한다. DB 원본은 변경하지 않는다.,1차 확정,시작 전,No
FR-P4-112,4조,관리자와 해당 당첨자 본인만 개인정보 원문을 조회할 수 있다,혁준,개인정보,관리자 또는 Winner 본인인 경우에만 원문 개인정보 조회를 허용한다.,1차 확정,시작 전,Yes
FR-P4-113,4조,관리자는 COMPLETED·PRIVATE Drawing의 결과 공개를 요청할 수 있다,혁준,결과 공개,"공개 조건을 검증한 뒤 파트3의 Drawing 공개 Service Method를 호출한다. Drawing.status = COMPLETED이고 visibility = PRIVATE인 경우 PRIVATE → PUBLIC로 변경한다. 이미 PUBLIC인 경우 오류로 처리하지 않고 기존 공개 결과를 반환하여 멱등하게 처리하며, COMPLETED가 아닌 Drawing은 공개할 수 없다.",1차 확정,시작 전,No
FR-P4-114,4조,최초 추첨 공개 완료 시 Event를 PUBLISHED로 전환한다,혁준,결과 공개,"INITIAL Drawing 공개는 파트4 PublicationService가 Transaction 경계를 소유한다. 파트3의 DrawingPublicationService.publish(drawingId, adminId) 내부 Service를 호출하면 그 안에서 Drawing PRIVATE → PUBLIC 전이와 EventCommandService.publish()를 통한 DRAW_COMPLETED → PUBLISHED 전이까지 한 Tx로 함께 처리되므로, 파트4는 EventCommandService.publish()를 별도로 다시 호출하지 않는다(중복 호출 시 두 번째 호출이 INVALID_STATE로 실패해 전체 Rollback됨). 파트4는 그 결과에 이어 당첨자 Notification 생성을 같은 DB Transaction으로 처리하며, 중간 단계가 실패하면 전체 Rollback한다.",1차 확정,시작 전,No
FR-P4-115,4조,재추첨 결과 공개 시 Event는 PUBLISHED를 유지한다,혁준,결과 공개,REDRAW Drawing 공개 시 파트4 PublicationService에서 파트3 Drawing 공개 Service를 호출하여 PRIVATE → PUBLIC로 변경하고 신규 당첨자 Notification을 생성한다. Event는 이미 PUBLISHED 상태이므로 상태를 변경하지 않는다. 동일 공개 요청은 멱등하게 처리한다.,1차 확정,시작 전,No
FR-P4-116,4조,사용자는 자신의 당첨 내역과 운영 상태를 조회할 수 있다,혁준,Winner,Winner와 WinnerManagement를 기준으로 본인의 당첨 내역을 조회한다. Winner 자체는 불변 데이터다. Winner 생성 시 WinnerManagement(status=SELECTED) 초기 데이터도 파트3의 추첨 결과 확정 Transaction에서 함께 생성하여 Winner만 존재하고 WinnerManagement가 없는 중간 상태를 허용하지 않는다.,1차 확정,시작 전,No
FR-P4-117,4조,당첨자 본인은 SELECTED 상태의 당첨을 포기할 수 있다,혁준,Winner,SELECTED → DECLINED만 허용하며 상태 변경과 WinnerStatusHistory 기록을 동일 Transaction으로 처리한다.,1차 확정,시작 전,No
FR-P4-118,4조,관리자는 SELECTED Winner를 수령 완료 처리할 수 있다,혁준,Winner,SELECTED → RECEIVED만 허용하고 상태 변경 이력을 기록한다.,1차 확정,시작 전,No
FR-P4-119,4조,관리자는 SELECTED Winner를 자격 상실 처리할 수 있다,혁준,Winner,SELECTED → DISQUALIFIED만 허용하고 상태 변경 이력을 기록한다.,1차 확정,시작 전,No
FR-P4-120,4조,Winner 운영 종결 상태는 SELECTED로 되돌릴 수 없다,혁준,Winner,"RECEIVED, DECLINED, DISQUALIFIED는 종결 상태이며 역방향 전이를 허용하지 않는다.",1차 확정,시작 전,No
FR-P4-121,4조,사용자 또는 관리자는 Winner 상태 변경 이력을 조회할 수 있다,혁준,Winner,WinnerStatusHistory의 이력을 시간순으로 조회하며 요청자의 접근 권한을 검증한다.,1차 확정,시작 전,No
FR-P4-122,4조,DECLINED 또는 DISQUALIFIED로 발생한 결원만 재추첨 요청 대상이 된다,혁준,Redraw,재추첨은 자동 실행하지 않으며 WinnerManagement 상태를 기준으로 실제 미처리 결원을 계산한다.,1차 확정,시작 전,No
FR-P4-123,4조,RedrawRequest 생성 시 vacancyCount는 서버가 실제 결원으로 계산한다,혁준,Redraw,클라이언트가 전달한 vacancyCount를 사용하지 않는다. Request와 Vacancy를 동일 Transaction에서 저장하고 실제 Vacancy 수와 일치시킨다.,1차 확정,시작 전,No
FR-P4-124,4조,동일 재추첨 생성 요청은 idempotencyKey로 중복 생성되지 않아야 한다,혁준,Redraw,redraw_request.idempotency_key UNIQUE를 최종 중복 방어선으로 사용한다.,1차 확정,시작 전,No
FR-P4-125,4조,동일 Winner 결원은 동시에 둘 이상의 진행 중 RedrawRequest가 점유할 수 없다,혁준,Redraw,요청 생성 시 결원 동시 점유를 방지하고 진행 중 Request 존재 여부를 확인한다.,1차 확정,시작 전,No
FR-P4-126,4조,관리자는 RedrawRequest 상세 정보를 조회할 수 있다,혁준,Redraw,"요청 상태, 실행 상태, vacancyCount, 대상 결원, 심사 정보를 조회한다.",1차 확정,시작 전,No
FR-P4-127,4조,관리자는 REQUESTED RedrawRequest를 승인할 수 있다,혁준,Redraw,REQUESTED → APPROVED로 변경하고 심사자와 심사 시각을 기록한다. 실행 전까지 executionStatus는 PENDING이다.,1차 확정,시작 전,No
FR-P4-128,4조,관리자는 REQUESTED RedrawRequest를 거절할 수 있다,혁준,Redraw,REQUESTED → REJECTED로 변경하고 거절 사유와 심사 정보를 기록한다. 거절 요청은 실행하지 않는다.,1차 확정,시작 전,No
FR-P4-129,4조,승인된 RedrawRequest만 실제 REDRAW 실행을 요청할 수 있다,혁준,Redraw,"status = APPROVED인 RedrawRequest만 실행할 수 있다. 실행 전 vacancyCount와 실제 Vacancy 수를 재검증한 뒤 파트3의 REDRAW 실행 Service를 RedrawCommand(redrawRequestId, eventId, originalDrawingId, vacancyCount) 계약으로 호출한다. 후보 산정, 기존 Winner 제외, Seed 생성, REDRAW Drawing 생성 및 Winner 저장은 파트3이 담당한다. 동일 redrawRequestId 재호출 시 새로운 Drawing이나 Seed를 생성하지 않고 기존 실행 결과를 반환한다.",1차 확정,시작 전,No
FR-P4-130,4조,재추첨 실행 결과에 따라 executionStatus와 실행 이력을 관리한다,혁준,Redraw,"파트3 REDRAW 실행 결과가 EXECUTED이면 executionStatus = EXECUTED로 기록한다. ALREADY_EXECUTED이면 새로운 상태를 추가하지 않고 기존 EXECUTED 상태와 기존 drawingId를 사용한다. 후보 부족은 정상 비즈니스 결과로 INSUFFICIENT_CANDIDATES를 기록한다. DB 장애나 추첨 실행 오류 등 기술적 실패는 예외로 전달받고, 실행 Transaction Rollback 이후 별도 Transaction에서 executionStatus = FAILED 및 redraw_execution_history를 기록한다.",1차 확정,시작 전,No
FR-P4-131,4조,후보가 vacancyCount보다 적으면 REDRAW Drawing을 생성하지 않는다,혁준,Redraw,INSUFFICIENT_CANDIDATES로 종결하며 부분 재추첨이나 vacancyCount 축소를 하지 않고 해당 결원은 최종 공석 처리한다.,1차 확정,시작 전,No
FR-P4-132,4조,Drawing 공개 성공 이후에만 당첨자 인앱 알림을 생성한다,혁준,Notification,INITIAL/REDRAW Drawing이 PRIVATE → PUBLIC로 정상 변경된 이후 신규 Winner 대상 Notification을 생성한다.,1차 확정,시작 전,No
FR-P4-133,4조,동일 Winner에 대한 동일 유형 알림은 중복 생성하지 않는다,혁준,Notification,동일 Winner와 알림 유형에 대한 중복 생성을 방지한다. Notification은 해당 Winner의 Member/Event/Drawing과 일치해야 한다.,1차 확정,시작 전,No
FR-P4-134,4조,사용자는 자신의 인앱 알림 목록을 조회할 수 있다,혁준,Notification,"사용자 본인의 Notification만 조회한다. page/size 기반 페이지네이션을 사용하며 page는 0부터 시작한다. size 기본값은 20, 최대값은 100이다. 정렬은 createdAt DESC, notificationId DESC로 고정한다.",1차 확정,시작 전,No
FR-P4-135,4조,사용자는 자신의 알림을 읽음 처리할 수 있다,혁준,Notification,본인 알림에 대해서만 readAt을 기록하며 이미 읽은 요청은 멱등하게 처리한다.,1차 확정,시작 전,No
FR-P4-136,4조,Creator 신청 생성 요청의 멱등성 정책을 확정해야 한다,혁준,API 미확정,"Creator 신청은 별도의 requestId 또는 idempotencyKey를 사용하지 않고 상태 기반으로 중복 요청을 처리한다.
- 한 Member는 동시에 PENDING 상태의 Creator 신청을 최대 1개만 가질 수 있다.
- 동일 Member에게 이미 PENDING 신청이 존재하면 새로운 신청을 생성하지 않고 기존 신청 결과를 반환한다.
- 이미 Creator로 승인된 Member가 다시 신청하면 INVALID_STATE로 처리한다.
- 기존 신청이 REJECTED 상태라면 새로운 Creator 신청을 생성할 수 있다.
- 동시 요청으로 PENDING 신청이 중복 생성되지 않도록 서비스 Transaction에서 동시성을 제어한다.",1차 확정,시작 전,No
